"País","Departamento","Ciudad o Municipio","Localidad","Departamento con código","Municipio con código","Comment","Comment User","Comment Date","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"Colombia","Antioquia","Granada","Otros","ANTIOQUIA - 1","GRANADA - 139","","","","2021-12-22 16:17:21","2022-04-02 16:01:04","danielb","","0","190.143.71.17","119","vybzy"
"Colombia","Antioquia","Granada","Corregimiento Santa Ana","ANTIOQUIA - 1","GRANADA - 139","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","120","3yfyw"
"Colombia","Antioquia","Itagui","Comuna 5","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","121","cjant"
"Colombia","Antioquia","Itagui","Comuna 6","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","122","e90l0"
"Colombia","Antioquia","Itagui","Otros","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","123","zrmsz"
"Colombia","Antioquia","Itagui","Corregimiento El Manzanillo","ANTIOQUIA - 1","ITAGUI - 151","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","124","nu12f"
"Colombia","Antioquia","Ituango","Otros","ANTIOQUIA - 1","ITUANGO - 154","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","125","etg83"
"Colombia","Antioquia","Ituango","Corr Santa Rita De Sinitave","ANTIOQUIA - 1","ITUANGO - 154","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","126","itwpj"
"Colombia","Antioquia","Jardin","No Aplica","ANTIOQUIA - 1","JARDIN - 157","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","127","73a8h"
"Colombia","Antioquia","Jerico","No Aplica","ANTIOQUIA - 1","JERICO - 160","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","128","u156p"
"Colombia","Antioquia","La Ceja","Otros","ANTIOQUIA - 1","LA CEJA - 163","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","129","ymc4s"
"Colombia","Antioquia","La Ceja","Corregimiento San Jose","ANTIOQUIA - 1","LA CEJA - 163","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","130","e9xkp"
"Colombia","Antioquia","La Estrella","No Aplica","ANTIOQUIA - 1","LA ESTRELLA - 166","","","","2021-12-22 16:17:21","2022-04-02 16:01:05","danielb","","0","190.143.71.17","131","drwat"
